tijd,uitwijking,versnelling
0.001,-1.4279,-28.558
0.121,-1.4279,-28.558
0.143,-1.1535,-23.07
0.166,-1.34215,-26.84299
0.19,-1.2564,-25.12799
0.214,-1.13635,-22.72699
0.24,-1.325,-26.5
0.267,-1.17065,-23.413
0.294,-1.5308,-30.616
0.323,-1.44505,-28.901
0.427,-1.3936,-27.872
0.449,-1.2221,-24.442
0.473,-1.3936,-27.872
0.497,-1.34215,-26.84299
0.522,-1.325,-26.5
0.548,-1.23925,-24.78499
0.656,-1.37645,-27.529
0.678,-1.51365,-30.273
0.702,-1.1878,-23.756
0.728,-1.1878,-23.756
0.755,-1.37645,-27.529
0.843,-1.2907,-25.814
0.91,-1.3593,-27.18599
0.986,-1.13635,-22.72699
1.056,-1.4279,-28.558
1.127,-1.3593,-27.18599
1.19,-1.27355,-25.471
1.253,-1.3936,-27.872
1.319,-1.1535,-23.07
1.385,-1.34215,-26.84299
1.461,-1.17065,-23.413
1.534,-1.3936,-27.872
1.696,-1.27355,-25.471
1.767,-1.3936,-27.872
1.829,-1.65085,-33.01699
1.892,-1.3593,-27.18599
1.957,-1.95955,-39.19099
2.026,-1.41075,-28.215
2.1,-1.1878,-23.756
2.166,-1.34215,-26.84299
2.229,-1.4279,-28.558
2.293,-1.3593,-27.18599
2.365,-1.30785,-26.157
2.438,-1.06775,-21.355
2.509,-1.1192,-22.384
2.662,-1.41075,-28.215
2.728,-1.3936,-27.872
2.793,-1.20495,-24.099
2.86,-1.1878,-23.756
2.93,-1.34215,-26.84299
3.022,-1.3936,-27.872
3.094,-1.20495,-24.099
3.162,-1.34215,-26.84299
3.233,-1.4279,-28.558
3.299,-1.37645,-27.529
3.385,-1.3593,-27.18599
3.463,-1.4622,-29.24399
3.541,-1.10205,-22.041
3.715,-1.2564,-25.12799
3.778,-1.3936,-27.872
3.847,-0.9991498,-19.983
3.91,-1.30785,-26.157
3.977,-0.9991498,-19.983
4.052,-1.1878,-23.756
4.132,-1.2221,-24.442
4.209,-1.44505,-28.901
4.292,-1.2907,-25.814
4.363,-1.78805,-35.76099
4.433,-1.1535,-23.07
4.504,-1.5994,-31.988
4.575,-1.5308,-30.616
4.728,-1.23925,-24.78499
4.801,-1.1192,-22.384
4.873,-1.1535,-23.07
4.945,-1.325,-26.5
5.012,-1.41075,-28.215
5.079,-1.27355,-25.471
5.149,-1.41075,-28.215
5.241,-1.20495,-24.099
5.325,-1.2221,-24.442
5.407,-1.20495,-24.099
5.487,-1.3936,-27.872
5.564,-1.6337,-32.674
5.642,-1.20495,-24.099
5.805,-1.27355,-25.471
5.873,-1.5308,-30.616
5.95,-1.75375,-35.075
6.027,-1.1878,-23.756
6.111,-1.37645,-27.529
6.198,-1.13635,-22.72699
6.272,-1.41075,-28.215
6.347,-1.37645,-27.529
6.425,-1.3593,-27.18599
6.498,-1.61655,-32.331
6.575,-1.1192,-22.384
6.653,-1.1535,-23.07
6.728,-1.23925,-24.78499
6.877,-1.20495,-24.099
6.95,-1.20495,-24.099
7.02,-1.3593,-27.18599
7.1,-1.37645,-27.529
7.186,-1.3936,-27.872
7.269,-1.3936,-27.872
7.347,-1.41075,-28.215
7.424,-1.37645,-27.529
7.497,-1.30785,-26.157
7.57,-1.0506,-21.012
7.644,-1.20495,-24.099
7.731,-1.2221,-24.442
7.81,-1.325,-26.5
7.99,-1.20495,-24.099
8.067,-1.2907,-25.814
8.137,-1.23925,-24.78499
8.208,-1.51365,-30.273
8.287,-1.5651,-31.30199
8.359,-1.30785,-26.157
8.44,-1.13635,-22.72699
8.522,-1.41075,-28.215
8.609,-1.41075,-28.215
8.689,-1.34215,-26.84299
8.762,-1.1878,-23.756
8.839,-1.3936,-27.872
8.917,-1.27355,-25.471
9.071,-1.3593,-27.18599
9.16,-1.3593,-27.18599
9.236,-1.3593,-27.18599
9.317,-1.325,-26.5
9.391,-1.2564,-25.12799
9.465,-1.37645,-27.529
9.539,-1.30785,-26.157
9.612,-1.54795,-30.959
9.698,-1.17065,-23.413
9.791,-1.17065,-23.413
9.874,-1.13635,-22.72699
9.967,-1.20495,-24.099
10.042,-1.2221,-24.442
