# tijd (s), versnelling (m/s^2)
1.965819091288036669e+00,3.012560756208317314e-01
1.970821175489787302e+00,3.020598096378104280e-01
1.975823259691538158e+00,3.028517950406741099e-01
1.980825343893288792e+00,3.036321324945993050e-01
1.985827428095039648e+00,3.044009243198712023e-01
1.990829512296790282e+00,3.051582743849725610e-01
1.995831596498540916e+00,3.059042880019288702e-01
2.000833680700291772e+00,3.066390718239470625e-01
2.005835764902042406e+00,3.073627337453820330e-01
2.010837849103793040e+00,3.080753828040588282e-01
2.015839933305544118e+00,3.087771290859739892e-01
2.020842017507294752e+00,3.094680836323934203e-01
2.025844101709045386e+00,3.101483583493613305e-01
2.030846185910796020e+00,3.108180659196303486e-01
2.035848270112546654e+00,3.114773197170153107e-01
2.040850354314297732e+00,3.121262337231750505e-01
2.045852438516048366e+00,3.127649224468174172e-01
2.050854522717799000e+00,3.133935008453225812e-01
2.055856606919549634e+00,3.140120842487740815e-01
2.060858691121300712e+00,3.146207882863856220e-01
2.065860775323051346e+00,3.152197288153076871e-01
2.070862859524801980e+00,3.158090218517955461e-01
2.075864943726552614e+00,3.163887835047168307e-01
2.080867027928303248e+00,3.169591299113763694e-01
2.085869112130054326e+00,3.175201771756308022e-01
2.090871196331804960e+00,3.180720413082664955e-01
2.095873280533555594e+00,3.186148381696098930e-01
2.100875364735306228e+00,3.191486834143389961e-01
2.105877448937056862e+00,3.196736924384622758e-01
2.110879533138807940e+00,3.201899803284309343e-01
2.115881617340558574e+00,3.206976618123475453e-01
2.120883701542309208e+00,3.211968512132341580e-01
2.125885785744059842e+00,3.216876624043216726e-01
2.130887869945810920e+00,3.221702087663205760e-01
2.135889954147561554e+00,3.226446031466330133e-01
2.140892038349312188e+00,3.231109578204659494e-01
2.145894122551062821e+00,3.235693844538028996e-01
2.150896206752813455e+00,3.240199940681929291e-01
2.155898290954564533e+00,3.244628970073147323e-01
2.160900375156315167e+00,3.248982029052719933e-01
2.165902459358065801e+00,3.253260206565790069e-01
2.170904543559816435e+00,3.257464583877912045e-01
2.175906627761567069e+00,3.261596234307401754e-01
2.180908711963318147e+00,3.265656222973273293e-01
2.185910796165068781e+00,3.269645606558359563e-01
2.190912880366819415e+00,3.273565433087168852e-01
2.195914964568570049e+00,3.277416741718061077e-01
2.200917048770321127e+00,3.281200562549321798e-01
2.205919132972071761e+00,3.284917916438707675e-01
2.210921217173822395e+00,3.288569814836057592e-01
2.215923301375573029e+00,3.292157259628550880e-01
2.220925385577323663e+00,3.295681242998204086e-01
2.225927469779074741e+00,3.299142747291216038e-01
2.230929553980825375e+00,3.302542744898747662e-01
2.235931638182576009e+00,3.305882198148770157e-01
2.240933722384326643e+00,3.309162059208567985e-01
2.245935806586077277e+00,3.312383269997545288e-01
2.250937890787828355e+00,3.315546762109945478e-01
2.255939974989578989e+00,3.318653456747129304e-01
2.260942059191329623e+00,3.321704264659050554e-01
2.265944143393080257e+00,3.324700086094576346e-01
2.270946227594831335e+00,3.327641810760310626e-01
2.275948311796581969e+00,3.330530317787583905e-01
2.280950395998332603e+00,3.333366475707281729e-01
2.285952480200083237e+00,3.336151142432181582e-01
2.290954564401833871e+00,3.338885165246500697e-01
2.295956648603584949e+00,3.341569380802328904e-01
2.300958732805335583e+00,3.344204615122660651e-01
2.305960817007086217e+00,3.346791683610733648e-01
2.310962901208836850e+00,3.349331391065376029e-01
2.315964985410587484e+00,3.351824531702111143e-01
2.320967069612338562e+00,3.354271889179723520e-01
2.325969153814089196e+00,3.356674236632044561e-01
2.330971238015839830e+00,3.359032336704689814e-01
2.335973322217590464e+00,3.361346941596516924e-01
2.340975406419341542e+00,3.363618793105544458e-01
2.345977490621092176e+00,3.365848622679115110e-01
2.350979574822842810e+00,3.368037151468074586e-01
2.355981659024593444e+00,3.370185090384742455e-01
2.360983743226344078e+00,3.372293140164466241e-01
2.365985827428095156e+00,3.374361991430558927e-01
2.370987911629845790e+00,3.376392324762413910e-01
2.375989995831596424e+00,3.378384810766613122e-01
2.380992080033347058e+00,3.380340110150836797e-01
2.385994164235097692e+00,3.382258873800405019e-01
2.390996248436848770e+00,3.384141742857265656e-01
2.395998332638599404e+00,3.385989348801279886e-01
2.401000416840350038e+00,3.387802313533626042e-01
2.406002501042100672e+00,3.389581249462183532e-01
2.411004585243851750e+00,3.391326759588736417e-01
2.416006669445602384e+00,3.393039437597862307e-01
2.421008753647353018e+00,3.394719867947361691e-01
2.426010837849103652e+00,3.396368625960099474e-01
2.431012922050854286e+00,3.397986277917127151e-01
2.436015006252605364e+00,3.399573381151975715e-01
2.441017090454355998e+00,3.401130484145979405e-01
2.446019174656106632e+00,3.402658126624542589e-01
2.451021258857857266e+00,3.404156839654225442e-01
2.456023343059607900e+00,3.405627145740548478e-01
2.461025427261358978e+00,3.407069558926424935e-01
2.466027511463109612e+00,3.408484584891112168e-01
2.471029595664860246e+00,3.409872721049606592e-01
2.476031679866610880e+00,3.411234456652383895e-01
2.481033764068361958e+00,3.412570272885408484e-01
2.486035848270112592e+00,3.413880642970333334e-01
2.491037932471863225e+00,3.415166032264808083e-01
2.496040016673613859e+00,3.416426898362834863e-01
2.501042100875364493e+00,3.417663691195096387e-01
2.506044185077115571e+00,3.418876853129189652e-01
2.511046269278866205e+00,3.420066819069711439e-01
2.516048353480616839e+00,3.421234016558132307e-01
2.521050437682367473e+00,3.422378865872399145e-01
2.526052521884118107e+00,3.423501780126229632e-01
2.531054606085869185e+00,3.424603165368023117e-01
2.536056690287619819e+00,3.425683420679371260e-01
2.541058774489370453e+00,3.426742938273095174e-01
2.546060858691121087e+00,3.427782103590791274e-01
2.551062942892872165e+00,3.428801295399827032e-01
2.556065027094622799e+00,3.429800885889765505e-01
2.561067111296373433e+00,3.430781240768169815e-01
2.566069195498124067e+00,3.431742719355765359e-01
2.571071279699874701e+00,3.432685674680924226e-01
2.576073363901625779e+00,3.433610453573444077e-01
2.581075448103376413e+00,3.434517396757594265e-01
2.586077532305127047e+00,3.435406838944403685e-01
2.591079616506877681e+00,3.436279108923171455e-01
2.596081700708628759e+00,3.437134529652174364e-01
2.601083784910379393e+00,3.437973418348550525e-01
2.606085869112130027e+00,3.438796086577348698e-01
2.611087953313880661e+00,3.439602840339715528e-01
2.616090037515631295e+00,3.440393980160216247e-01
2.621092121717382373e+00,3.441169801173265541e-01
2.626094205919133007e+00,3.441930593208664124e-01
2.631096290120883641e+00,3.442676640876224936e-01
2.636098374322634275e+00,3.443408223649478406e-01
2.641100458524384909e+00,3.444125615948452346e-01
2.646102542726135987e+00,3.444829087221510378e-01
2.651104626927886621e+00,3.445518902026257768e-01
2.656106711129637254e+00,3.446195320109484705e-01
2.661108795331387888e+00,3.446858596486169213e-01
2.666110879533138966e+00,3.447508981517513060e-01
2.671112963734889600e+00,3.448146720988022884e-01
2.676115047936640234e+00,3.448772056181627632e-01
2.681117132138390868e+00,3.449385223956826785e-01
2.686119216340141502e+00,3.449986456820883785e-01
2.691121300541892580e+00,3.450575983003041913e-01
2.696123384743643214e+00,3.451154026526790375e-01
2.701125468945393848e+00,3.451720807281152825e-01
2.706127553147144482e+00,3.452276541091027773e-01
2.711129637348895116e+00,3.452821439786558644e-01
2.716131721550646194e+00,3.453355711271560713e-01
2.721133805752396828e+00,3.453879559590985471e-01
2.726135889954147462e+00,3.454393184997442412e-01
2.731137974155898096e+00,3.454896784016776579e-01
2.736140058357649174e+00,3.455390549512706855e-01
2.741142142559399808e+00,3.455874670750529454e-01
2.746144226761150442e+00,3.456349333459897699e-01
2.751146310962901076e+00,3.456814719896675880e-01
2.756148395164651710e+00,3.457271008903878839e-01
2.761150479366402788e+00,3.457718375971703395e-01
2.766152563568153422e+00,3.458156993296658821e-01
2.771154647769904056e+00,3.458587029839797489e-01
2.776156731971654690e+00,3.459008651384067878e-01
2.781158816173405324e+00,3.459422020590773306e-01
2.786160900375156402e+00,3.459827297055177442e-01
2.791162984576907036e+00,3.460224637361226097e-01
2.796165068778657670e+00,3.460614195135429116e-01
2.801167152980408304e+00,3.460996121099887968e-01
2.806169237182159382e+00,3.461370563124482325e-01
2.811171321383910016e+00,3.461737666278235648e-01
2.816173405585660650e+00,3.462097572879848095e-01
2.821175489787411284e+00,3.462450422547426188e-01
2.826177573989161917e+00,3.462796352247405340e-01
2.831179658190912996e+00,3.463135496342676367e-01
2.836181742392663629e+00,3.463467986639930940e-01
2.841183826594414263e+00,3.463793952436228785e-01
2.846185910796164897e+00,3.464113520564796600e-01
2.851187994997915531e+00,3.464426815440073137e-01
2.856190079199666609e+00,3.464733959102003769e-01
2.861192163401417243e+00,3.465035071259596755e-01
2.866194247603167877e+00,3.465330269333751212e-01
2.871196331804918511e+00,3.465619668499361761e-01
2.876198416006669589e+00,3.465903381726718746e-01
2.881200500208420223e+00,3.466181519822201795e-01
2.886202584410170857e+00,3.466454191468281709e-01
2.891204668611921491e+00,3.466721503262846782e-01
