tijd,uitwijking,versnelling
0.002,4.97905,99.581
0.034,4.8247,96.494
0.145,5.04765,100.953
0.168,4.84185,96.837
0.191,4.84185,96.837
0.216,5.0305,100.61
0.242,5.04765,100.953
0.269,5.04765,100.953
0.297,5.0648,101.296
0.326,4.84185,96.837
0.357,5.0305,100.61
0.389,5.04765,100.953
0.503,5.0305,100.61
0.527,5.04765,100.953
0.552,5.04765,100.953
0.578,5.0305,100.61
0.605,5.0305,100.61
0.634,5.0305,100.61
0.735,4.84185,96.837
0.759,4.84185,96.837
0.785,5.0648,101.296
0.811,4.84185,96.837
0.84,5.04765,100.953
0.937,4.63605,92.721
1.005,7.3629,147.258
1.07,6.9513,139.026
1.131,6.93415,138.683
1.211,6.93415,138.683
1.284,6.7455,134.91
1.353,6.93415,138.683
1.436,6.9513,139.026
1.503,6.917,138.34
1.577,6.93415,138.683
1.722,6.917,138.34
1.782,6.72835,134.567
1.855,6.93415,138.683
1.929,6.93415,138.683
2.0,6.917,138.34
2.08,6.93415,138.683
2.147,6.72835,134.567
2.212,6.9513,139.026
2.277,6.72835,134.567
2.347,6.9513,139.026
2.426,6.7455,134.91
2.505,6.93415,138.683
2.663,6.7112,134.224
2.732,6.72835,134.567
2.798,6.93415,138.683
2.862,6.93415,138.683
2.93,6.72835,134.567
2.999,6.93415,138.683
3.087,6.9513,139.026
3.171,6.9513,139.026
3.251,6.7112,134.224
3.325,6.93415,138.683
3.402,6.9513,139.026
3.475,6.93415,138.683
3.628,6.7112,134.224
3.702,6.93415,138.683
3.772,6.72835,134.567
3.85,6.93415,138.683
3.933,6.93415,138.683
4.001,6.93415,138.683
4.071,6.93415,138.683
4.146,6.93415,138.683
4.219,6.9513,139.026
4.292,6.9513,139.026
4.368,6.72835,134.567
4.438,6.72835,134.567
4.591,6.93415,138.683
4.655,6.93415,138.683
4.731,6.72835,134.567
4.809,6.9513,139.026
4.887,6.93415,138.683
4.961,6.93415,138.683
5.034,6.72835,134.567
